"q23_con_brand1_slice01","q23_con_brand1_slice02","q23_con_brand1_slice03","q23_con_brand1_slice04","q23_con_brand1_slice05","q23_con_brand1_slice06","q23_con_brand1_slice07","q23_con_brand1_slice08","q23_con_brand1_slice09","q23_con_brand1_slice10","q23_con_brand1_slice11","q23_con_brand1_slice12","q23_con_brand1_slice13","q23_con_brand1_slice14","q23_con_brand1_slice15","q23_con_brand1_slice16","q23_con_brand1_slice17","q23_con_brand1_slice18","q23_con_brand2_slice01","q23_con_brand2_slice02","q23_con_brand2_slice03","q23_con_brand2_slice04","q23_con_brand2_slice05","q23_con_brand2_slice06","q23_con_brand2_slice07","q23_con_brand2_slice08","q23_con_brand2_slice09","q23_con_brand2_slice10","q23_con_brand2_slice11","q23_con_brand2_slice12","q23_con_brand2_slice13","q23_con_brand2_slice14","q23_con_brand2_slice15","q23_con_brand2_slice16","q23_con_brand2_slice17","q23_con_brand2_slice18","q23_con_brand3_slice01","q23_con_brand3_slice02","q23_con_brand3_slice03","q23_con_brand3_slice04","q23_con_brand3_slice05","q23_con_brand3_slice06","q23_con_brand3_slice07","q23_con_brand3_slice08","q23_con_brand3_slice09","q23_con_brand3_slice10","q23_con_brand3_slice11","q23_con_brand3_slice12","q23_con_brand3_slice13","q23_con_brand3_slice14","q23_con_brand3_slice15","q23_con_brand3_slice16","q23_con_brand3_slice17","q23_con_brand3_slice18","q23_con_brand4_slice01","q23_con_brand4_slice02","q23_con_brand4_slice03","q23_con_brand4_slice04","q23_con_brand4_slice05","q23_con_brand4_slice06","q23_con_brand4_slice07","q23_con_brand4_slice08","q23_con_brand4_slice09","q23_con_brand4_slice10","q23_con_brand4_slice11","q23_con_brand4_slice12","q23_con_brand4_slice13","q23_con_brand4_slice14","q23_con_brand4_slice15","q23_con_brand4_slice16","q23_con_brand4_slice17","q23_con_brand4_slice18","q23_con_brand5_slice01","q23_con_brand5_slice02","q23_con_brand5_slice03","q23_con_brand5_slice04","q23_con_brand5_slice05","q23_con_brand5_slice06","q23_con_brand5_slice07","q23_con_brand5_slice08","q23_con_brand5_slice09","q23_con_brand5_slice10","q23_con_brand5_slice11","q23_con_brand5_slice12","q23_con_brand5_slice13","q23_con_brand5_slice14","q23_con_brand5_slice15","q23_con_brand5_slice16","q23_con_brand5_slice17","q23_con_brand5_slice18","q23_con_brand6_slice01","q23_con_brand6_slice02","q23_con_brand6_slice03","q23_con_brand6_slice04","q23_con_brand6_slice05","q23_con_brand6_slice06","q23_con_brand6_slice07","q23_con_brand6_slice08","q23_con_brand6_slice09","q23_con_brand6_slice10","q23_con_brand6_slice11","q23_con_brand6_slice12","q23_con_brand6_slice13","q23_con_brand6_slice14","q23_con_brand6_slice15","q23_con_brand6_slice16","q23_con_brand6_slice17","q23_con_brand6_slice18","q23_con_brand7_slice01","q23_con_brand7_slice02","q23_con_brand7_slice03","q23_con_brand7_slice04","q23_con_brand7_slice05","q23_con_brand7_slice06","q23_con_brand7_slice07","q23_con_brand7_slice08","q23_con_brand7_slice09","q23_con_brand7_slice10","q23_con_brand7_slice11","q23_con_brand7_slice12","q23_con_brand7_slice13","q23_con_brand7_slice14","q23_con_brand7_slice15","q23_con_brand7_slice16","q23_con_brand7_slice17","q23_con_brand7_slice18","q23_con_brand8_slice01","q23_con_brand8_slice02","q23_con_brand8_slice03","q23_con_brand8_slice04","q23_con_brand8_slice05","q23_con_brand8_slice06","q23_con_brand8_slice07","q23_con_brand8_slice08","q23_con_brand8_slice09","q23_con_brand8_slice10","q23_con_brand8_slice11","q23_con_brand8_slice12","q23_con_brand8_slice13","q23_con_brand8_slice14","q23_con_brand8_slice15","q23_con_brand8_slice16","q23_con_brand8_slice17","q23_con_brand8_slice18","q23_con_brand9_slice01","q23_con_brand9_slice02","q23_con_brand9_slice03","q23_con_brand9_slice04","q23_con_brand9_slice05","q23_con_brand9_slice06","q23_con_brand9_slice07","q23_con_brand9_slice08","q23_con_brand9_slice09","q23_con_brand9_slice10","q23_con_brand9_slice11","q23_con_brand9_slice12","q23_con_brand9_slice13","q23_con_brand9_slice14","q23_con_brand9_slice15","q23_con_brand9_slice16","q23_con_brand9_slice17","q23_con_brand9_slice18","q23_con_brand10_slice01","q23_con_brand10_slice02","q23_con_brand10_slice03","q23_con_brand10_slice04","q23_con_brand10_slice05","q23_con_brand10_slice06","q23_con_brand10_slice07","q23_con_brand10_slice08","q23_con_brand10_slice09","q23_con_brand10_slice10","q23_con_brand10_slice11","q23_con_brand10_slice12","q23_con_brand10_slice13","q23_con_brand10_slice14","q23_con_brand10_slice15","q23_con_brand10_slice16","q23_con_brand10_slice17","q23_con_brand10_slice18","q23_con_brand11_slice01","q23_con_brand11_slice02","q23_con_brand11_slice03","q23_con_brand11_slice04","q23_con_brand11_slice05","q23_con_brand11_slice06","q23_con_brand11_slice07","q23_con_brand11_slice08","q23_con_brand11_slice09","q23_con_brand11_slice10","q23_con_brand11_slice11","q23_con_brand11_slice12","q23_con_brand11_slice13","q23_con_brand11_slice14","q23_con_brand11_slice15","q23_con_brand11_slice16","q23_con_brand11_slice17","q23_con_brand11_slice18","q23_con_brand12_slice01","q23_con_brand12_slice02","q23_con_brand12_slice03","q23_con_brand12_slice04","q23_con_brand12_slice05","q23_con_brand12_slice06","q23_con_brand12_slice07","q23_con_brand12_slice08","q23_con_brand12_slice09","q23_con_brand12_slice10","q23_con_brand12_slice11","q23_con_brand12_slice12","q23_con_brand12_slice13","q23_con_brand12_slice14","q23_con_brand12_slice15","q23_con_brand12_slice16","q23_con_brand12_slice17","q23_con_brand12_slice18","q23_con_brand13_slice01","q23_con_brand13_slice02","q23_con_brand13_slice03","q23_con_brand13_slice04","q23_con_brand13_slice05","q23_con_brand13_slice06","q23_con_brand13_slice07","q23_con_brand13_slice08","q23_con_brand13_slice09","q23_con_brand13_slice10","q23_con_brand13_slice11","q23_con_brand13_slice12","q23_con_brand13_slice13","q23_con_brand13_slice14","q23_con_brand13_slice15","q23_con_brand13_slice16","q23_con_brand13_slice17","q23_con_brand13_slice18","q23_con_brand14_slice01","q23_con_brand14_slice02","q23_con_brand14_slice03","q23_con_brand14_slice04","q23_con_brand14_slice05","q23_con_brand14_slice06","q23_con_brand14_slice07","q23_con_brand14_slice08","q23_con_brand14_slice09","q23_con_brand14_slice10","q23_con_brand14_slice11","q23_con_brand14_slice12","q23_con_brand14_slice13","q23_con_brand14_slice14","q23_con_brand14_slice15","q23_con_brand14_slice16","q23_con_brand14_slice17","q23_con_brand14_slice18","q23_con_brand15_slice01","q23_con_brand15_slice02","q23_con_brand15_slice03","q23_con_brand15_slice04","q23_con_brand15_slice05","q23_con_brand15_slice06","q23_con_brand15_slice07","q23_con_brand15_slice08","q23_con_brand15_slice09","q23_con_brand15_slice10","q23_con_brand15_slice11","q23_con_brand15_slice12","q23_con_brand15_slice13","q23_con_brand15_slice14","q23_con_brand15_slice15","q23_con_brand15_slice16","q23_con_brand15_slice17","q23_con_brand15_slice18","q23_con_brand16_slice01","q23_con_brand16_slice02","q23_con_brand16_slice03","q23_con_brand16_slice04","q23_con_brand16_slice05","q23_con_brand16_slice06","q23_con_brand16_slice07","q23_con_brand16_slice08","q23_con_brand16_slice09","q23_con_brand16_slice10","q23_con_brand16_slice11","q23_con_brand16_slice12","q23_con_brand16_slice13","q23_con_brand16_slice14","q23_con_brand16_slice15","q23_con_brand16_slice16","q23_con_brand16_slice17","q23_con_brand16_slice18","q23_con_brand17_slice01","q23_con_brand17_slice02","q23_con_brand17_slice03","q23_con_brand17_slice04","q23_con_brand17_slice05","q23_con_brand17_slice06","q23_con_brand17_slice07","q23_con_brand17_slice08","q23_con_brand17_slice09","q23_con_brand17_slice10","q23_con_brand17_slice11","q23_con_brand17_slice12","q23_con_brand17_slice13","q23_con_brand17_slice14","q23_con_brand17_slice15","q23_con_brand17_slice16","q23_con_brand17_slice17","q23_con_brand17_slice18","q23_con_brand18_slice01","q23_con_brand18_slice02","q23_con_brand18_slice03","q23_con_brand18_slice04","q23_con_brand18_slice05","q23_con_brand18_slice06","q23_con_brand18_slice07","q23_con_brand18_slice08","q23_con_brand18_slice09","q23_con_brand18_slice10","q23_con_brand18_slice11","q23_con_brand18_slice12","q23_con_brand18_slice13","q23_con_brand18_slice14","q23_con_brand18_slice15","q23_con_brand18_slice16","q23_con_brand18_slice17","q23_con_brand18_slice18","q23_con_brand19_slice01","q23_con_brand19_slice02","q23_con_brand19_slice03","q23_con_brand19_slice04","q23_con_brand19_slice05","q23_con_brand19_slice06","q23_con_brand19_slice07","q23_con_brand19_slice08","q23_con_brand19_slice09","q23_con_brand19_slice10","q23_con_brand19_slice11","q23_con_brand19_slice12","q23_con_brand19_slice13","q23_con_brand19_slice14","q23_con_brand19_slice15","q23_con_brand19_slice16","q23_con_brand19_slice17","q23_con_brand19_slice18"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
